"House"	"District"	"LastName"	"FirstName"	"Party"	"Won"	"YearRan"
"Senate"	1	"Lasee"	"Frank"	"Republican"	1	2014
"Senate"	1	"Debroux"	"Dean P"	"Democrat"	0	2014
"Senate"	2	"Cowles"	"Robert"	"Republican"	1	2012
"Senate"	2	"None"	"None"	"Democrat"	0	2012
"Senate"	3	"Carpenter"	"Tim"	"Democrat"	1	2014
"Senate"	3	"None"	"None"	"Republican"	0	2014
"Senate"	5	"None"	"None"	"Democrat"	0	2014
"Senate"	4	"Taylor"	"Lena"	"Democrat"	1	2012
"Senate"	4	"None"	"None"	"Republican"	0	2012
"Senate"	4	"King"	"David"	"Independent"	0	2012
"Senate"	5	"Friedrich"	"Wendy"	"Libertarian"	0	2014
"Senate"	5	"Vukmir"	"Leah"	"Republican"	1	2014
"Senate"	6	"Harris Dodd"	"Nikiya"	"Democrat"	1	2012
"Senate"	6	"None"	"None"	"Republican"	0	2012
"Senate"	7	"Larson"	"Chris"	"Democrat"	1	2014
"Senate"	7	"Arnold"	"Jason Red"	"Republican"	0	2014
"Senate"	8	"Darling"	"Alberta"	"Republican"	1	2012
"Senate"	8	"None"	"None"	"Democrat"	0	2012
"Senate"	9	"LeMahieu"	"Devin"	"Republican"	1	2014
"Senate"	9	"Laning"	"Martha"	"Democrat"	0	2014
"Senate"	10	"Harsdorf"	"Sheila"	"Republican"	1	2012
"Senate"	10	"Olson"	"Daniel"	"Democrat"	0	2012
"Senate"	11	"Nass"	"Steve"	"Republican"	1	2014
"Senate"	11	"Kilkenny"	"Dan"	"Democrat"	0	2014
"Senate"	12	"Tiffany"	"Tom"	"Republican"	1	2012
"Senate"	12	"Sommer"	"Susan"	"Democrat"	0	2012
"Senate"	12	"Ehlers"	"Paul"	"Libertarian"	0	2012
"Senate"	13	"Fitzgerald"	"Scott"	"Republican"	1	2014
"Senate"	13	"Zahn"	"Michelle"	"Democrat"	0	2014
"Senate"	14	"Olsen"	"Luther"	"Republican"	1	2012
"Senate"	14	"Worthington"	"Margarete"	"Democrat"	0	2012
"Senate"	15	"Ringhand"	"Janis"	"Democrat"	1	2014
"Senate"	15	"Fitzgerald"	"Brian"	"Republican"	0	2014
"Senate"	16	"Miller"	"Mark"	"Democrat"	1	2012
"Senate"	16	"None"	"None"	"Republican"	0	2012
"Senate"	17	"Marklein"	"Howard"	"Republican"	1	2014
"Senate"	17	"Bomhack"	"Pat"	"Democrat"	0	2014
"Senate"	18	"Gudex"	"Rick"	"Republican"	1	2012
"Senate"	18	"King"	"Jessica"	"Democrat"	0	2012
"Senate"	19	"Roth"	"Roger"	"Republican"	1	2014
"Senate"	19	"Schaber"	"Penny Bernard"	"Democrat"	0	2014
"Senate"	20	"Stroebel"	"Duey"	"Republican"	1	2015
"Senate"	20	"Lohr"	"Tanya"	"Democrat"	0	2012
"Senate"	20	"Grothman"	"Glen"	"Democrat"	0	2012
"Senate"	21	"Wanggaard"	"Van"	"Republican"	1	2014
"Senate"	21	"Bryce"	"Randy"	"Democrat"	0	2014
"Senate"	22	"Wirch"	"Robert"	"Democrat"	1	2012
"Senate"	22	"Stevens"	"Pam"	"Republican"	0	2012
"Senate"	23	"Moulton"	"Terry"	"Republican"	1	2014
"Senate"	23	"Swanhorst"	"Phil"	"Democrat"	0	2014
"Senate"	24	"Lassa"	"Julie"	"Democrat"	1	2012
"Senate"	24	"Noble"	"Scott"	"Republican"	0	2012
"Senate"	25	"Bewley"	"Janet"	"Democrat"	1	2014
"Senate"	25	"Deutsch"	"Dane"	"Republican"	0	2014
"Senate"	26	"Risser"	"Fred"	"Democrat"	1	2012
"Senate"	26	"None"	"None"	"Republican"	0	2012
"Senate"	27	"Erpenbach"	"Jon"	"Democrat"	1	2014
"Senate"	27	"None"	"None"	"Republican"	0	2014
"Senate"	28	"Lazich"	"Mary"	"Republican"	1	2012
"Senate"	28	"Ward"	"Jim"	"Democrat"	0	2012
"Senate"	29	"Petrowski"	"Jerry"	"Republican"	1	2014
"Senate"	29	"Demain"	"Paul"	"Democrat"	0	2014
"Senate"	30	"Hansen"	"Dave"	"Democrat"	1	2012
"Senate"	30	"Macco"	"John"	"Republican"	0	2012
"Senate"	31	"Vinehout"	"Kathleen"	"Democrat"	1	2014
"Senate"	31	"Pittman"	"Mel"	"Republican"	0	2014
"Senate"	32	"Shilling"	"Jennifer"	"Democrat"	1	2012
"Senate"	32	"Feehan"	"Bill"	"Republican"	0	2012
"Senate"	33	"Farrow"	"Paul"	"Republican"	1	2014
"Senate"	33	"Shaddock"	"Sherryll"	"Democrat"	0	2014
"Senate"	33	"Kapenga"	"Chris"	"Republican"	1	2015
